대사	라벨
나도 눈물이 날려고 하네..	1
한번 LG는 영원한 LG입니다...	1
연아 선수..	1
그렇게 잊지 못하고영원히 가슴속 깊은 곳에 새기는나 그리고 우리의 별정.형.돈.(허섭하게 시 쪼가리 흉내내는 나...	1
넘넘 축하드리구영~	1
이세상 최고의 스케이터랍니다~!!	1
저는 엘지만을 응원하고 엘지의 선수들을 조아할것입니다...	1
감동이였습니다...	1
연아양,,, 넘 수고하셨습니다.	1
캐럿들이 힘들어하는거 어떻게 아시고 ㅠㅠ	1
체중계를 보고 얼마나 감격했는지..!!!!	1
연아양 수고햇어요...	1
오늘 프리보면서 울었어요..	1
환상적이고 멋진 연기 보여줬습니다 ...	1
요리하는것이 숙제하는것처럼 힘든저에게 용기나게 해주시고 할수 있을것같은 희망을 주셔서감사합니다!!	1
저에게 요리의 희망을 주신분이기에 사랑할수밖에 없는 멋진분입니다	1
정말 감격 ,~ 감격 또 또 !!!!!!~~~~~~~~~~	1
그동안 많은일이있었고 여태잘해왔어	1
백종원님 쯔유소스 정말 맛있네요...	1
쿡슨의 활약에 따라 엘쥐는 강한 타선이 만들어진다....	1
아무리 봐도 너무 대단한 거 아닌가요?	1
연기 정말 잘하시더라구요 !!!!	1
으엉엉ㅠㅠ연아선수~	1
오늘 첫 1위를 했잖아요?	1
항상 건강하시구요	1
주부로써 요리의 젬뱅인 저를 요리의 신세계로 이끌어주신 백주부님 제게는 신입니다	1
놀러와 녹화 분도 보면서 입담도 잘 하시고요	1
비록 홈런은 맞았지만...배짱투 멋있었슴다...	1
점프하나하나 뛸때마다 조마조마하게 봤는데 클린을...!!!ㅜㅠ	1
오늘 교복입고 혼자 춤춘거 진짜 멋있었어요.	1
가입한지 두달이 되어~~	1
오늘 연기 정말 멋졌어요~	1
전 장문석선수를 믿습니다...	1
맞는옷 입어서 형 옷입으면 우리나라의 패션리더가 될거에요	1
상준이형 형은 수비를넘넘잘해여.	1
오래도록 기다려 왔던 세계적인 한국인 피겨선수!  연아 선수가 우리 나라에 있다는 그 자체만으로도 우리는 감격하고 있습니다.	1
예디 2015년 소처럼 일하시느라 고생하셨어요,	1
수상소감 너무 좋았어요	1
오늘은 또 얼마나 맛있게 만들어 주실지 벌써부터 기대하고 있습니다	1
김재현오빠는 짱먹구......	1
부상없는 연아님의 피겨는 이제 피겨역사에 아름다운 예술과 기술이 완벽하게 어우러진 유일무이한 기록으로이미 존재하고 있습니다.	1
감동으로 펑펑 울게 해줘서,	1
백종원님의 푸근한 성품 그리고 놀라운 음식 솜씨에 반하기도 했습니다.	1
아직 TV중계와 사진만  봤지만..넘 예뻤어요	1
항상감사하고 고맙습니다	1
언제나 열씸히 하는 누나모습이 아름답습니다.	1
정말 최고의 연기였습니다.	1
그리고 지난 주 주말은 무도,런닝맨 본 뒤무도는 신나게 음악 만드는 모습을 보여주시고런닝맨에서는 카리스마 보습을 보여주셔서 정말 유느님이 멋있게 보였어요	1
6억대 연봉..	1
어제 진짜 감동 먹었어요 ㅠ	1
당신의 노력과 열정...	1
더 이뻐지신듯...!	1
봐도봐도 질리지 않는..  포스가 느껴집니다..	1
한번 성공이 열번의 실패를 다 없애고, 한번 실패가 열번의 성공을 다 없앤다.	1
형..알면 알수록 멋져서 빠져 버려요.	1
내일도 소마는 야구장에서 박용택 선수님 응원합니다 ^^	1
서로만 믿고 같이 나가자	1
드시는모습또한 일품이고요	1
짱입니다	1
어쩜 연아양 같은 사람이 우리나라에 태어나서...	1
무슨 요린든 간단히 쉽게  그리고 핵심을 찌르는 비법을 전수!	1
진심이 묻어나는 수상소감 ㅠㅠ	1
오늘 정말 브이ㅇ에서 재밌고 웃기고 활기찬 모습 보여줘서 고맙고 정말...1시간이 1분처럼 빨리 지나간 것 같네요ㅠㅠ	1
매일 새로운 모습보여주려고 고생해서 너무 고마워ㅠㅠㅠㅠ	1
고맙습니다 감사합니다	1
우리나라 윗것들도 포기한 소녀상을 지켜주셔서 감사해요..ㅠㅠ	1
촛불 감사합니다.	1
배울점이 많은 사람	1
캐시템 유효기간이 좀 길어졌네	1
오~~예 박그네 대통령님 good ---!	1
좋은이미지로 적당한 때 그만둔건 신의한수다.삼둥이 때문에 슈돌이 즐거웠습니다.건강하십시오	1
노고에 감사드립니다	1
사실 저게 쉽지 않은데 흉기가 있을수도있고 아무튼 용감하신분	1
난 대구에서 태어나 먹고 자랐지만 다행히 초등학교시절 제일 좋아하던 시간인 역사시간에 선생님이 상당히 진보적인 역사교육을 해주셔서 참 다행이라고 생각한다	1
애플은 위대하다. 고 스티브잡스 존경합니다	1
지칠때 김연아씨 경기 보면서 힐링 많이받고있어요ㅠㅠ 멋져	1
수고많았습니다.	1
대단하시고 멋지십니다. 자랑스럽습니다.	1
이예쓰! 작가님!! 맞아요!!!!!!	1
이해 못할 무슬림이었지만, 이것만은 기립박수쳐주고 싶다.	1
내년에도 박보검의 열일을 응원합니다	1
어떤 결정을 어떻게 내리든 언제나 응원하고 함께할께요	1
정부는 세계적 망신이지만 국민들의 대응은 자랑스럽다	1
특검 힘내세요~~	1
그래주면 우리가 고맙고 미안하고 그렇네...	1
블리자드감사합니다^^	1
일본은 모든 상품과 건물들이 이쁘게 디자인 되어 있다.지금 한국은 미적 감각이 크게 결여되어 있음.	1
고생하셨슴다 홍포 !	1
믿고보는 jtbc 응원합니다.	1
무한도전 오래오래 함께해요 우리~	1
응 봄에서 여름만 심한거 잘 알고있어~~	1
박보검♡김유정 이들이 드라마를 멋지게 살림♡	1
수고하셨습니다 당신은 최선을 다 했어요	1
젝스키스팬은아니었지만토토가를통해추억을선물해주신거에대해서감사드리고항상응원합니다!!	1
엄마사랑합니다. ㅜㅠ	1
아쉽지만 잘했어요 미나!!	1
뻐스기사님들 힘내세요 항상감사드려요~~~	1
대단하시네요.. 열흘동안힘드셨을텐데	1
다행이네요 남은생 별탈없이 잘지냈면 좋겠군요	1
지금 한참 기성용 컨디션 좋던데 한혜진의 힘이 크다	1
처음부터. 이런득탬에. 입사하려고개고생했을. 노력의 결실이라고 하자	1
응 니들은 하지마형이 다즐기고 다닐께 고마워	1
새해에도 건강하고 콘서트 많이 해주세요. 응원합니다. 민경훈 화이팅	1
와이지 젝키 컴백시켜주셔서 감사합니다..	1
좋은 글 감사합니다~	1
특검 ㅡ화이팅 ~~^^♡	1
천황폐하 수고하셨습니다.	1
아ㅜ아버지 어머니들 힘내세요..	1
필 선수 그동안 정말 고마웠습니다, 앞으로도 꾸준히 좋은 성적 내주길 응원합니다	1
구르미 찍느라 박보검 수고했다	1
여전히 멋진 신성우~~진심으로 축하합니당~~^^	1
그래도 경찰은 국민과 공감한다~굿잡	1
검찰은 영 믿음이 법원 그래도 살아있네	1
고맙습니다..*^^*	1
고마워 지금까지 버텨줘서고맙고 앞으로도 승승장구하자 사랑해♡	1
문자테러 받을텐데 용기있네. 엄지척!	1
오~방송출연 기다렸습니다	1
그동안 기복없이 계속못하는거 보다 기복있어도 이렇게 해주는게 훨났다	1
정말 고마운 일이네요~^^	1
제보한 시민들 응원합니다!!	1
같이 죽고 같이 환생하는거 아님? ㅋㅋㅋㅋ망좈ㅋㅋㅋㅋㅋ	1
이여진기상캐스터의 살스는 진리다~~	1
서울대 인권센터연구팀 너무 감사합니다. ㅠㅠ. 지원해준 서울시도 감사. 저 원본 유네스코에 등재합시다!!!!! 박근혜가 망쳐버렸지만 역사의 증거는 변하지 않으니까요.	1
개봉 타이밍이 신의 한수	1
대통령님! 화이팅!! 존경합니다.	1
네이버가 짱인듯....	1
정말 대단한 일을 또 해내셨네요 싸이가~~!! 축하드립니다!!	1
시청자의 한 사람으로써 재미있는 프로그램 제작을 위해 열일해주셔서 항상 감사합니다	1
완벽한 결말을 위해 힘들지만 저희가 기달리겠습니다♡	1
감사히 무 베팅하겠습니다	1
애국자 노승일모든국민이 응원합니다..	1
힘드시겠지만 우리 어민을 위해 쏴버리세요.^^	1
그래도 고생했어요~~~	1
좋은기사 여러사람과 공유했네요 감사	1
드라마 한편 본거같네. 고맙다 nc	1
소방대원분들 감사드립니다.	1
캐릭터 잘살림♡	1
울아빠 울산현기차30년차.	1
넥센 히어로즈여 고맙다 고마워....	1
감사합니다.	1
택배기사님 정말 감사합니다~ 죄송합니다~	1
루핸진 순조로운 한화행 좋아지고 있다	1
용기 있는 증언 정말 감사드립니다	1
그나마 일본 법으로 다룰수 잇는거에 감사합니다	1
당신이 남긴 주옥같은 명곡들을 들을수 있음을 감사합니다 ~~편안하게 돌아가셨다니~~~~~	1
덴마크 사법당국 화이팅!!!	1
일들이 너무 많고 특검팀들 너무 고될거같아요..	1
그렇지만 오빠의 결정이 너무 멋있고 솔직하게 말해주어서 너무 고마웠어요	1
그 중심엔 갓숙이 조율을 잘한것같다	1
이래서 오바마가 멋져!!!	1
그리고 감사합니다	1
신뢰를 지키는 결정입니다.	1
독립 운동가 분들께 진심 감사드린다	1
그래도 화이팅입니다	1
이 험난한 시국에 활력소가 되어주어서 감사해요!!	1
시원한 기사 감사드립니다	1
그리고 쉬지않고 밤낮 고생하시는 택배 기사님들 감사해요	1
그동안 박근혜정권과 최전방에서 싸우시느라 고생하셨어요	1
대통령님을 지지하는 대한민국 국민은 조용이 응원하고 있습니다	1
연경이 누나 화이또	1
이재용영장재청구감사.	1
대한민국 국민으로서 자랑스럽습니다	1
유진이스타킹서비스받고싶당!	1
평생 소장♥	1
 순신이 없었으면 어떡할 뻔했어.	1
감사합니다	1
그냥 아무것도 없는 스튜디오에서 의상 가져다가 했던 우천시취소특집처럼 해줘도 정말 고마운데 ㅠ ㅠ	1
이제 탈 벗어라 수고햇다	1
오호 땡큐요	1
수고하셨어요ㅠㅠ	1
아침부터 좋은 글 감사합니다ㅎㅎ	1
수고하고들 계십니다.	1
요새는 스마트폰이 기능이 좋아서 .	1
약쟁이긴 하지만 빤짝 스타는 아닌듯	1
애국시민 여러분 모여주십시오.	1
당신같은분께서 민주주의의 양심입니다!!!!	1
오늘 알바면접보고왔는데 내일부터 출근해라고했다	1
제가 놓치는 환자정보 있으면 알려주고바빠서 차트를 자세히 못볼때가 많은데 간호사들이 다파악하고 있어서 같이 일하는 입장에서 정말 고마워요.	1
맨날 눈팅만 하다가 제가 잘 아는 분야에서 도움을 드리고자 이렇게 글을 남깁니다	1
그래도 군대잘갔다오라고해주신분들께 마지막으로감사말씀 드리고출처를 클릭해주세요^^3	1
문의사항이나 제보는 아래로 연락주시면 감사하겠습니다.	1
핑계인건 알지만 그래도 착하게 거절해줘서 고마웠어요.	1
여러분의 성원에 힘입어wii로 바꿨습니다0	1
늘 감사한 마음이 커요.	1
댓글 에 대답 해주시면 감사하겠습니다!!!!!^^	1
감사했었습니다	1
그래도 베이비웰 덕에 조금씩 설사가 멈추네요	1
답해 주시면 감사하겠습니다~!	1
관심 많이 가져주신거 다시한번 감사드립니당^_^	1
조언들 정말 감사합니다.	1
알려주시면 감사해요 ^.^!	1
감사합니다...^^	1
여태까지 경기하시면서 최선을 다하시는모습 감사합니다	1
그리고 감기는 님덕분에 다나았네요~	1
생일 추카 해요	1
그냥 음식만들길 좋아하는 나는...항상 환상 그 자체입니다...	1
연아선수, 마음에서 우러 나오는 축하와 감사를 보내요.	1
집사람이 백주부님 요리프로그램을 넘 좋아해요~~~	1
감사^*^	1
항상 고마워요	1
어제 누나 페북보고 가입한건데 반갑고 매일 라디오 잘 듣고 있어요	1
팬해줘서 고맙다는 승관아 뭐가 고맙다는건지 오히려 내가 항상 고맙고 미안한데 !	1
기본을 배우는것 같아 좋습니다...	1
모두 백선생님으로 부터입니다......	1
항상 좋은 요리법들을 쉽게 설명하셔서..	1
멋진 미소와  멋진 방송 감사해유!!!!!!!	1
요리를 해봐야겠다는 용기를 내게 해주셔서 감사합니다.	1
땡큐.^^	1
좋은 레시피 감사합니다	1
쉽고 간편한 레시피 감사해요.	1
그리구 화이팅 건강하시구요	1
라면도 못끓이던 제가 국을 끓이고  음식을 만들고 요리를 하고 있습니다.	1
백주부님 덕분에 살 길을 찾았습니다.	1
덕분에 맛난거 맹글어 먹었습니다	1
감사~~	1
오빠들이 존재하기에 고맙고 이렇게 좋은노래로 캐럿들 감동시켜줘서 고마워요.	1
넘 감사합니다.	1
감사히 먹었습니다	1
요리에 대한 두려움을 없애 주시는 분 감사드립니다~~	1
백주부님 항상 응원합니다.	1
좋은 말씀 이 네 여 ^^;...	1
요리란 어려운 것이라고 생각했는데요즘 백선생 덕분에 쉽게 생각들어간혹 부억에서서 조리를해 봅니다	1
열심히 응원할께요~	1
광고보는 재미까지 주셔서 감사	1
음식을 너무 쉽게 후딱후딱해주셔서직장맘으로 잘보고 있습니다.	1
감사합니다..	1
쉽게음식식을 할수 있어 감사합니다	1
감사드리고 화이팅 하세요  ~~	1
복많이 받으실거예요.	1
맨날 승리 소식 들으니까 저까지두 넘 좋더라구여..	1
제가 아직 요리 초보인데 백주부님의 방송을 보면 저같은 학생들도 쉽게 보고 따라할수 있어요	1
오랜만에왔는데  수고많으시내요	1
맛있는것 많이 해줘서 감사해요~~	1
아주 편하게 음식을 할 수 있을 것 같아요	1
또 한번 행복의 세계로 초대해줘서 너무나 감사해요..ㅠㅠ	1
그리고 태어나줘서 고마워요 !	1
쉽고 간단하게 맛있게 요리를 할수 있게 가르쳐 줘서 감사합니다.	1
집밥백선생님 프로그램 너무너무 잘 보고 있습니다.	1
백선생님 감솨요~~~~~~~~~~~	1
감사할 뿐입니다 ^-^	1
항상 감사 합니다.	1
항상 열심히 하시는 모습 보기 좋구요	1
지금도 너희는 캐럿들의 기대에 부응하기 위해 타국에서 열심히 노력하고 있겠지!	1
감사합니다^^	1
몰랐다.진정 나다운 모습이 무엇인지고맙다.	1
항상 고마워요	1
계속되는 맛있는 음식 쉽게할수 있어소 고마워유!!~~  ㅎㅎ	1
넘 감사 감사  화이팅~	1
뭐..개..개인적으로 힘든거..  형돈이형 보면서 마음좀 달래고 있네요..	1
백주부님 좋은 요리 연구 파이팅	1
백주부님 프로 잘 보고 있어요..	1
항상 매주마다 유느님 모습들이 재밌게 보여주시니감사합니다	1
장예원님 감사합니다.	1
그리고 1004까지 갈 수 있게 해주신 예지력 회원 분들께 감사드립니다	1
연아선수 정말 축하해요~~	1
그래서 걱정을 조금 덜었어요 ㅠㅠ	1
영원히 저희들 곁에서 정말 손쉽게 음식을 만드는 법을 알려주시는 백주부님...	1
20년차 주부인 제가 이제서야 음식을 즐기면서 만듭니다	1
감사합니다~^.~	1
축하 합니다.	1
항상웃음주셔서감사하구요...	1
넉넉한 이웃에 감사합니다.	1
지난 1년동안 애쓰고 마음 고생한 감독님의 노고에 찬사를 보냅니다.	1
이때까지 예쁘다 활동하신다고 고생많으셨어요	1
정말 감사해요..	1
그래서 항상고마워요♡!	1
이렇게 좋은 노래 만들어서 우리에게 들려줘서 고맙고 사랑합니다♥♥	1
어머님감사합니다♡	1
넘 축하하고 태어나 줘서 고맙고 ㅎㅎ	1
감사합니다.^^	1
감사합니다~	1
백주부님덕분에요 ~~~	1
쉽게알려주시니 머리에쏙쏙	1
놓치기 쉬운 부분을 잘 정리해주는 것 같아 큰 도움 얻었습니다	1
수고 하셨어요,	1
모든게 다  감사합니다	1
역시 오빤해내실 줄 알았어요~	1
재미있는 형돈오빠 항상 파이팅 ! ㅋㅋ	1
덕분에 아내와 애들에게 좋은 남편,아빠가 되고 있습니다.	1
요즘 백주님 덕분에 온가족 입이 즐거워지고 있어요	1
늘 감사합니다	1
캐럿들을 위해 열심히 해준게 너무 고마워요ㅠㅠㅠㅜㅠㅠㅠㅜ	1
감사해요.	1
요즘 백주부님 덕분에 좋은 레시피 많이 배웁니다!	1
언제나 화이팅하시구 감사합니다~~~	1
정말 고맙습니다  그리고 ㅎㅎ	1
항상 반짝반짝 빛나고 있고 진짜 제 가수가 되어주셔서 감사합니다.	1
요리를 겁내하는 저에게 요리를 할 수 있게 쉽게 알려 주시니 감사드려요.	1
간단한데 맛있기까지 근데ㅋ	1
항상 감사 합니다.	1
메뉴가 풍성해요	1
그리고 웃음을 주셔서 감사해요...	1
쉽고 따라하면 맛이 보장되는 요리 계속가르쳐주세요.	1
너무너무 고맙고 사랑하고 응원해요?	1
백주부님 축복 받으세요~~	1
그냥 고마워요	1
항상 건강한 웃음주셔서 고맙삼...	1
너무너무 올려줘서 고마워요ㅜㅜㅜ	1
감솨합니당~ *^^*	1
언제나 사랑하고 존경하고 감사합니다!!♡	1
요리에 쉽게 다가설 수 있도록 해 주심 감사드립니다.	1
백종원님 좋은 정보 감사합니다.	1
항상 변함 없는모습에 감사드립니다^^	1
진정한 금메달은 당신입니다.	1
??태어나줘서 너무너무 고마워요~	1
그리고 너무 고마워요!	1
백주부님 덕에 요리에 관심이 가네요......	1
쉬운 설명과 편안함으로 넘 매력적인 백주부님^^	1
감사해요	1
너무 너무 감사드려요.	1
감사합니다^^	1
방송을 보며 많이 배우고있습니다	1
백 선생님 레시피 많이 도움됩니다아	1
우리를 17년동안 기쁘게 해주셨는데 우린해드릴게 없네요	1
연아야 고마워~	1
캐럿 때문에 많은 멋진 모습을보이고 줘서 고맙습니다 ♡ㅠㅠ	1
항상 재미있는 웃음 보여주셔서 감사드립니다!!	1
어찌나 반갑던지..감사	1
티비 잘보고있습니다 ^^	1
간단하고 쉽게배워 너무 좋아요	1
덕분에 요리가 무지 쉬어졋어요	1
2016동안 너무 고생했어!!	1
????데뷔해줘서 너무 고마워요!!	1
흐항상 너무 고맙고 보고싶고 내 가수!	1
슈가보이 요즘은농담도잘하시고넘~~^^*잘해용 슈가뿅	1
따라하기 좋은 래시피 감사합니다.	1
더 열씨미 응원할께여...	1
늘감사합니다	1
경질경기 잘봤습니다	1
청소아주머니 사이다 발언!!!!! 맨날 댓글로 욕해도 듣지못하는데 거기서 해주셔서 감사합니다!!	1
기회가 허락해 가게 되더라도 꼭 낙하산을 매고 가겠습니다.	1
이미내려갈팀을 구해낸분인데	1
화이팅♡♡ 특검	1
아버지덕에 손흥민이 상무에서 전성기를 보내게 됐습니다	1
홧팅 jtbc~~♥	1
공포스러운 최순실 처단해주는 특검에 오늘도 삼성은 감사해야한다.	1
김종민씨 대상 축하드립니다.	1
못생겨도 푸근해서 남자들이 좋다고 하는데 하면 좋은줄 알아라 걍	1
한화가 이토록 까이는 이유는 수비에도 응원해주시는 최강 마리화나 팬들도 한 몫 하지	1
전에 1박2일에 김c가 있었던거 처럼 시즌3에서는 구탱이형이 그역할을 잘해주었지	1
어려운 시국에 수능 보느라 정말 수고 많았습니다.	1
감사합니다 변호사님 존경합니다	1
추운날씨에 고생이 많으십니다	1
불편할수도 있지만 그런건 둘째치고 파업 절대 지지합니다.	1
멀고 먼 타지에서도 대한민국 국민임을, 잊지 않고 활동해주셔서 감사합니다.	1
축하합니다 굿	1
이런다고 박근혜가 스스로 내려오진 않겠지만 그래도 집회나가신분들 응원합니다	1
노을이 덕분에 함틋 본다	1
아는형님 넘 재미있어요 홧팅!	1
말도 조리있게 잘하고 맞는말 해주고 지금 대통령이랍시고 계시는 분보다 훨씬 낫다.	1
이병규 선수 수고하셨습니다. 항상 응원하겠습니다.	1
정말 칭찬받아 마땅한 기사입니다.	1
나이 먹을수록 더 멋져지는 그야말로 배우 공유님 감사합니다	1
특검팀에 찬사를보냅시다	1
오랜만에 예능출연 ㅠㅠ 햄보카다?	1
노승일씨 참 든든해요	1
모두들 수고하셨어요^^	1
만세ㅜㅜㅜㅜㅠ탈큡만세ㅜㅜㅜㅜ쉽지않은 결정이였을텐데 너무 고마워요	1
새해 첫날부터 수고 많으십니다!	1
대한민국인의 한 사람으로서 인터넷 강국임을 자랑스럽게 생각한다!!!!!!!!!!	1
박원순은 나라를 위해 결단을 한 것!!!	1
1초의 시간은 나에게 많은 일을 할 수 있는 시간이지.	1
고개 숙여 감사드립니다.	1
좋은 기사 잘 읽었습니다	1
특검팀. . ,멋지요~~~^^♥♥	1
1승이 천금같은 요즘 그래도 이겨서 다행이네..	1
강한울 선수... 진짜 환상적인 수비 가끔씩 보여주면서 미운 정 고운 정 다 들었는데...ㅜㅜ 가서 꼭 성공해요	1
원정출산을 막아주신다니 너무도 황공하옵니다 트럼프씨ㅋㅋ	1
기아팬으로도 이건 좀 아닌데... 그래도 이렇게 해서라도 내년 우승만 한다면 머~ 조치~~~ ㅎㅎ	1
우리나라도 동등히 받는게 나을듯~~	1
그 특유의 유쾌함이 참 팀에 많은 도움을 준다. 고마워요~	1
안희정의 부드러운 강인함과 인간적 매력이 승리하지 않을까 싶다.	1
특검 힘내셍·	1
이번결정은 환영한다 완영아 !	1
내년 V6 부탁드립니다	1
특검 감사합니다 !!!	1
나지완이 착한계약했네 고맙다	1
추운데 고생하셨습니다.	1
뽁주야 수고많았어♡	1
정말 감사합니다ㅜㅜ	1
항상 활기찬 모습을 보고 힘이 납니다~~~**응원합니다	1
송민호 매력덩어리 나피디 안목 믿어요	1
맥 그리ㅡ 홧티잉 정말대단해	1
제가 기억하는 김병현 선수는 세계 최정상급의 선수들이 모인 메이저리그에서도 전혀 굴하지 않고 자신의 공을 뿌리던 거였는데 그 모습 다시 보고 싶습니다.	1
교민들제보&안민석의원님 출동?	1
진정한애국자시다진짜	1
일본 기업들에게서나 볼수 있었던 고개 숙이는 모습을 우리나라 기업에서도 볼수 있다니...특히나 삼성에서...!!!멋지다!!	1
몰랐네요.. 정보 주셔서 감사합니다	1
당신들이진정한애국자입니다	1
존잼꿀잼 요즘 나의 낙♡♡	1
이제 알겠네요. 감사합니다.	1
Kbo의 잘했어요. 좋은결정 환영 .내가다 기분이 좋아지네요.	1
다양이 그것이 알고싶다는 결방이 아니군!	1
이번주도 우리흥 쩔었다 진짜	1
존경합니다...잘 키워 주시기를	1
그동안 잘해줘서 고맙고 삼성가서도 승승장구하길 바랄게요	1
용감한..우리의 어머니~~	1
이승엽 선수 2년만 더 뛰어주세요	1
류중일 감독 같은 덕장을 이렇게 보내네	1
특검의 노력에 박수를 보냅니다...	1
기사가 디게 친절하네요	1
기자님 좋은기사 감사감사!!!!!!	1
김인권씨 지적으로 보이네요.	1
박대통령님 짱!!!!!	1
잘한 결정이다.	1
정말 무도에게 그리고 감사한 마음입니다.	1
국내부자들은 한두푼 더 쳐먹을려고 계획중인데 빌게이츠는 저런 계획을 세우고있었다니 참 대단한분이시네	1
조급증 걸린 팬들도 많지만 묵묵히 응원하는 팬들이 더 많으니 꿈을 향해 전진 하기를 기원합니다.	1
갖다주셔요 ^^	1
정말...최고임....이시영 흥해랏~~!!!	1
전 lg폰 좋아요^^가장 오래 쓴폰도 LG였는데ㅎ	1
앞으로 30년을 더 살면... 감사합니다.	1
사실 여기까지 올라오는게 가능했던 것도 커쇼덕분;	1
신부님 고맙습니다.	1
열일해주셔서 감사합니다 ㅠ	1
신이 대한민국으을 버리지 않으셨군...	1
이 추운 날씨에 정말 감사하고 고맙습니다	1
참...맘이 따뜻한 사람...	1
올바른 판단...	1
1년동안 삼성에서 고생많았습니다~!	1
쓰레기하나 휴지통에 바르게 버리셨습니다.	1
암튼 사고 안났으니 다행~	1
백 미러 넓은거 달면 초보 때 좀 도움 됨.	1
어젠 슈퍼세이브로 팀을 구하고 오늘은 끝내기 홈런 ㅋㅋㅋ	1
나라도 국민도 멋지다	1
특검팀 응원합니다.	1
글고보니 진짜알짜배기 배우님들 ! 박신양!	1
특검 화이팅~~	1
감사해요^^	1
좋은정보 감사합니다!	1
쌀쌀한데도 수고하셨습니다	1
존경합니다	1
다들고마워	1
다들 기다려주셔서 감사해요	1
아 그리고 이 노트북들이 별루라면 추천 해주셔도 감사해용0	1
그리고 언제 써야하는지, 장단점도써주시면캄사할께요.ㅎ	1
파는 곳 좀 알려주시면 감사하겠습니다0	1
이런사람이랑 연애하는거 고맙게 생각하며 잘 사귀겠습니다.	1
난 고마워요	1
아는 오빠가 저한테 짜증한번 안내고 잘 놀아줬는데ㅠㅜ	1
대한민국 현역 군인님들 힘내세요 ㅠ	1
현재만 바라보고 살꺼야과거가 너여서 아프지만 고마워이런마음 가지게 해줘서	1
여러분들은 어떻게 참으시는지 알려주심 감사하겠습니다.ㅜ	1
별거아닌데 이모티콘까지 찍어주시니 괜히 기분이 좋아서 올려봐요ㅎㅎ	1
감사합니다. :)	1
면접제의가 넘 조아여 ㅋㅋㅋ	1
글 내릴게요. 감사합니다	1
이정로 선생님을 만나서 인생이 달라집니다.	1
근데사장님이 엄청잘해주세요	1
어제 분명히 이제 우리 금 토일 못보니깐 축구 안하구 너만 봐야겄다ㅎㅎ	1
사장님,가게누나들 재밋고 착하구요	1
알바하고있는데어떤 아저씨가 공과금내러와서지로하고있는데아이고 이쁘네	1
아기키우면서 큰 도움 될것같아요^^	1
알려주신분들 감사해요	1
댓글 감사합니다^^	1
정신차리라고 냉정한말감사합니다.	1
읽어주셔서 감사합니다♡	1
적지만 댓글 남겨주신 분들 감사해요	1
잘 시청하고 있습니다.	1
우리에겐 든든한 선생님이 뒤에 계신다니까요~^^	1
앞으로도좋은 활동 부탁드려요♡♡	1
우리의 식단을 책임지시는 백주부님께 드리는 선물입니다	1
감사합니다	1
백선생님 덕분에 요리가 너무 많이 늘었어요.	1
항상 방송도 잘 챙겨보고라디오도 잘 듣고 있어요	1
쉽고 맛있는 레시피 감사드려요~~~	1
삶 속에서 힘들때 연아선수의 경기를 보면서 고비를 잘 넘겼습니다...	1
항상 고마워요!	1
앞으로도 화이팅 응원많이할께!!!!!!	1
항상 착하고 순수한 모습이 너무 좋습니다.	1
세븐틴 멤버여서 고맙구 윤정한으로 태어나줘서 고마워요!!	1
매일매일 감사합니다^^	1
항상 캐럿들을 위해 곡과 안무를해주셔서 감사하고요	1
힘들고 지칠 때도 많았을텐데 늘 밝은 모습으로 와줘서 , 캐럿이라는 이름을 행복하게 해줘서 고마워요	1
너무 나도 좋은 음식을 먹기 좋게 만들어주시는  백선생님 늘 사랑합니다..	1
최근의 무한상사도 너무 재밌고 흥미진진하게 잘 봤습니다.	1
항상 집에있는 재료로 새로운 음식을 만들게 해주는 레시피 감사드려요 ^^	1
긍정적인 삶의 방향도 잘 배우고 있습니다.	1
멋있는귀요미오빠를 낳아주셔서감사합니다.	1
항상 고마워요	1
요리라고까지 말할수는 없지만음식 만드는것에 자신감을갖게해준 백선생님 최고감사합니다	1
이 세상에 태어나 주셔서 감사합니다.	1
오늘 너무 수고했어	1
앞으로도 우리들 곁에서 맛깔스런 음식문화 창달에 더욱 힘을내시리라 믿습니다.	1
덕분에 쉽게쉽게 요리해서 매일매일 멋진 만찬을 준비하는 주부에요..	1
요리 프로 잘 보고 있습니다~~~	1
감사합니다!	1
방송 잘보고 있어요	1
색다른 면을 느끼게 해줘서 감사합니다.	1
대한민국에 태어나줘서 정말 고마워요	1
언제나 밝은모습시원시원한 말씀프로의마인드 감사드립니다.	1
백쌤 화이팅 임다요	1
백주부님께 감사 드림니다.	1
방송 넘 재밌게 보고있고 항상 응원합니다..	1
감사합니다	1
조미료를 쓰는것도 아닌데 진짜 맛있어요	1
항상감사합니다	1
마지막까지 최선을 다하시고 멋진 경기 정말 고마워요	1
팬들에게 기쁨을 줘서 감사합니다..	1
오빠 신인때 야구 하는 모습을 보구 야구를 좋아하게 되었어여	1
덕분에 요리가 다시 재미있어지기 시작한 1인 입니다	1
쉽게 접할수있는 재료들로 쉽게 요리할수있게 도와주셔서 너무 감사드려요..	1
정말 너무 고마워요	1
요리하는데 많은 도움받고있어요~	1
항상잘해주셔요	1
실시간으로 어플 통해 매장 안 상황 확인도 가능하고24시간 긴급출동서비스도 있어서 언제나 도움 받을 수 있는...너무 좋네요...	1
누나를 알고나서 더 긍정적으로 변한거 같아요	1
그래도 귀엽게 봐주시면 감사합니다 ㅠㅠㅠ	1
